time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2017-12-09 00:00:00,0,-1.1,92,0,,230,10.4,,1017.7,,
2017-12-09 01:00:00,0,-0.6,96,0,,190,6.1,,1017.7,,
2017-12-09 02:00:00,-0.1,-1.2,92,0,,180,5.8,,1017.6,,
2017-12-09 03:00:00,-0.4,-2.8,84,0,,200,8.6,,1018.1,,
2017-12-09 04:00:00,-0.1,-2.6,83,0,,210,10.1,,1018.4,0,
2017-12-09 05:00:00,-0.6,-3.1,83,0,,190,9.4,,1018.5,0,
2017-12-09 06:00:00,-1.1,-3,87,0,,200,7.2,,1018.8,0,
2017-12-09 07:00:00,-1.7,-3.7,86,0,,210,7.6,,1018.8,0,
2017-12-09 08:00:00,-1.7,-5,78,0,,220,8.6,,1019,0,
2017-12-09 09:00:00,-1.4,-4.4,80,0,,200,10.1,,1019.6,0,
2017-12-09 10:00:00,0,-3.4,78,0,,220,7.9,,1020,4,
2017-12-09 11:00:00,0.7,-3.4,74,0,,210,11.5,,1020.5,7,
2017-12-09 12:00:00,1,-2.9,75,0,,200,12.2,,1020.3,27,
2017-12-09 13:00:00,2.2,-4.8,60,0,,220,14,,1019.8,57,
2017-12-09 14:00:00,1.9,-4.4,63,0,,250,20.5,,1019.7,32,
2017-12-09 15:00:00,1.9,-4.6,62,0,,250,18.7,,1019.7,1,
2017-12-09 16:00:00,1.3,-5.4,61,0,,270,23.4,,1020,0,
2017-12-09 17:00:00,0.3,-5.9,63,0,,250,23,,1019.8,0,
2017-12-09 18:00:00,0,-6,64,0,,230,16.6,,1019.6,0,
2017-12-09 19:00:00,-0.5,-4.9,72,0,,190,12.6,,1019.4,0,
2017-12-09 20:00:00,-0.5,-3.4,81,0,,190,14,,1019.2,0,
2017-12-09 21:00:00,-0.5,-3.5,80,0,,190,13.3,,1018.3,0,
2017-12-09 22:00:00,-0.7,-3.7,80,0,,190,13.3,,1017.9,,
2017-12-09 23:00:00,-0.4,-4.1,76,0,,180,15.1,,1016.8,,
